Year,Fatalities,Age Group,Gender,Rate
2005,"2,035",9,male,21.4
2005,"1,537",10,male,19.5
2005,"1,170",11,male,19.8
2005,"3,674",12,male,25.5
2006,"1,206",1,male,3.6
2006,"3,883",2,male,35.6
2006,"4,419",3,male,40.2
2006,"2,780",4,male,27
2006,"2,379",5,male,23.3
2006,"2,158",6,male,20.4
2006,"2,387",7,male,20.9
2006,"2,386",8,male,21.5
2006,"1,995",9,male,20.6
2006,"1,564",10,male,18.6
2006,"1,144",11,male,18.8
2006,"3,315",12,male,22.7
